A-bomb Atombombe
abacus Rechenbrett
abandonment Aufgabe
abasement Demuetigungf
abashment Beschaemungf
abattoir Schlachthof
abbacies Amtswuerde
abbey Abteif
abbot Abtm
abbreviation Abkuerzung
abbreviations Abkuerzungenf
abbreviator Abkuerzer
abbroachement Aufkaufen
abdication Abdankung
abdicator Abdanker
abdomen Unterleib
abdominal Unterleibs
abduction Entfuehrung
abductor Entfuehrer
aberrance Abirrung
aberrances Verirrung
aberrant Irrtum
aberration Abweichung
aberrations Verirrungen
abetment Beihilfe
abetments Beihilfen
abetter Gehilfe
abettor Anstifter
abeyance Unentschiedenheit
abhorrence Abscheu
abidance Aufenhalt
abider Getreue
abigail Zofe
abilities Faehigkeiten
ability Faehigkeit
abjection Verwerflichkeit
abjectness Verworfenheit
abjuration Entsagung
ablation Entfernung
abloom Bluete
ablutions Waschungen
abnegation Verleugnung
abnegator Versager
abnegators Versager
abnormalities Abweichungen
abnormality Abweichung
abode Aufenthalt
abolishment Abschaffung
abolition Abschaffung
abolitionisms Abschaffungen
abolitionists Sklavereigegner
abomination Abscheu
aborigine Ureinwohner
aborigines Stammvolk
abortion Abtreibung
abortionist Abtreiber
abortions Abtreibungen
abortiveness Fehlgebaeren
about Unruhe
abrasion Abnuetzung
abrasiveness Abreiben
abrasivenesses Haerte
abridgement Kuerzung
abridgements Kuerzungen
abrogation Aufhebung
abrogations Aufhebungen
abruption Abbrechung
abruptness Ploetzlichkeit
abruptnesses Ploetzlichkeiten
abscess Abszess
abscissa Abszisse
abscissae Abzisse
absconder Fluechtling
absence Mangel
absences Abwesenheiten
absentee Abwesende
absentees Abwesende
absentmindedness Geistesabwesenheit
absinthe Wermut
absoluteness Absolute
absolution Freisprechung
absolutism Absolutismus
absorbabilities Aufsaugfaehigkeiten
absorbability Absorptionsfaehigkeit
absorbencies Absorptionsvermoegen
absorbency Saugfaehigkeit
absorber Absorber
absorption Aufnahme
abstainer Temperenzler
abstemiousness Enthaltsamkeit
abstention Enthaltung
abstinence Abstinenz
